"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1776,3.0151e+05,0,1.8917e-05,0.6359,268.72,1.4044,0,1.0834e+05,1.0987e+17,0,0,0,309.76,0,,33.48,25.38,0,0
1.1864,3.0332e+05,0,1.8967e-05,0.6204,264.52,1.3598,0,1.0952e+05,1.2672e+17,0,0,0,310.82,0,,33.553,25.453,0,0
1.195,3.0509e+05,0,1.9016e-05,0.6048,260.2,1.2721,0,1.107e+05,1.4337e+17,0,0,0,311.88,0,,33.626,25.526,0,0
1.2038,3.0694e+05,0,1.9063e-05,0.59003,256.16,1.217,0,1.1187e+05,1.6005e+17,0,0,0,312.89,0,,33.699,25.599,0,0
1.2128,3.0893e+05,0,1.9106e-05,0.57661,252.54,1.2144,0,1.1305e+05,1.7677e+17,0,0,0,313.83,0,,33.772,25.672,0,0
1.2218,3.1093e+05,0,1.915e-05,0.56319,248.93,1.2117,0,1.1423e+05,1.935e+17,0,0,0,314.77,0,,33.845,25.745,0,0
1.2283,3.1231e+05,0,1.9179e-05,0.55312,245.94,1.0401,0,1.1507e+05,2.0542e+17,0,0,0,315.41,0,,33.918,25.818,0,0
1.2345,3.1363e+05,0,1.9207e-05,0.54341,243.02,0.85094,0,1.1587e+05,2.1683e+17,0,0,0,316.02,0,,33.992,25.892,0,0
1.2406,3.1496e+05,0,1.9235e-05,0.53369,240.09,0.66177,0,1.1667e+05,2.2825e+17,0,0,0,316.63,0,,34.065,25.965,0,0
1.2468,3.1628e+05,0,1.9263e-05,0.52398,237.17,0.4726,0,1.1748e+05,2.3967e+17,0,0,0,317.23,0,,34.138,26.038,0,0
1.253,3.176e+05,0,1.9291e-05,0.51426,234.24,0.28344,0,1.1828e+05,2.5108e+17,0,0,0,317.84,0,,34.211,26.111,0,0
1.2587,3.1888e+05,0,1.9306e-05,0.50853,232.76,0.042252,0,1.1894e+05,2.6042e+17,0,0,0,318.16,0,,34.284,26.184,0,0
1.2643,3.2015e+05,0,1.9319e-05,0.50315,231.42,-0.20362,0,1.1958e+05,2.6957e+17,0,0,0,318.45,0,,34.357,26.257,0,0
1.27,3.2142e+05,0,1.9333e-05,0.49777,230.07,-0.44948,0,1.2023e+05,2.7872e+17,0,0,0,318.74,0,,34.43,26.33,0,0
1.2757,3.2269e+05,0,1.9346e-05,0.4924,228.72,-0.69535,0,1.2087e+05,2.8787e+17,0,0,0,319.03,0,,34.503,26.403,0,0
1.2813,3.2397e+05,0,1.9359e-05,0.48702,227.38,-0.94121,0,1.2152e+05,2.9702e+17,0,0,0,319.31,0,,34.576,26.476,0,0
1.287,3.2534e+05,0,1.9366e-05,0.48439,227.19,-1.0992,0,1.2211e+05,3.0551e+17,0,0,0,319.47,0,,34.649,26.549,0,0
1.2927,3.2672e+05,0,1.9373e-05,0.48197,227.09,-1.2504,0,1.2271e+05,3.1394e+17,0,0,0,319.61,0,,34.722,26.622,0,0
1.2983,3.281e+05,0,1.9379e-05,0.47955,226.99,-1.4017,0,1.233e+05,3.2238e+17,0,0,0,319.76,0,,34.796,26.696,0,0
1.304,3.2948e+05,0,1.9386e-05,0.47713,226.89,-1.553,0,1.239e+05,3.3082e+17,0,0,0,319.9,0,,34.869,26.769,0,0
1.3097,3.3086e+05,0,1.9393e-05,0.47471,226.79,-1.7042,0,1.2449e+05,3.3925e+17,0,0,0,320.04,0,,34.942,26.842,0,0
1.3148,3.3213e+05,0,1.9396e-05,0.47367,227.2,-1.7505,0,1.25e+05,3.4651e+17,0,0,0,320.11,0,,35.015,26.915,0,0
1.3198,3.334e+05,0,1.9398e-05,0.47278,227.66,-1.786,0,1.255e+05,3.5365e+17,0,0,0,320.17,0,,35.088,26.988,0,0
1.3249,3.3466e+05,0,1.9401e-05,0.47189,228.12,-1.8215,0,1.2601e+05,3.6078e+17,0,0,0,320.23,0,,35.161,27.061,0,0
1.3299,3.3592e+05,0,1.9404e-05,0.471,228.58,-1.857,0,1.2651e+05,3.6792e+17,0,0,0,320.29,0,,35.234,27.134,0,0
1.335,3.3718e+05,0,1.9406e-05,0.47011,229.04,-1.8925,0,1.2701e+05,3.7505e+17,0,0,0,320.35,0,,35.307,27.207,0,0
1.3391,3.3824e+05,0,1.9408e-05,0.46971,229.57,-1.9028,0,1.2742e+05,3.8091e+17,0,0,0,320.38,0,,35.38,27.28,0,0
1.3432,3.3927e+05,0,1.941e-05,0.46937,230.11,-1.9098,0,1.2782e+05,3.8659e+17,0,0,0,320.41,0,,35.453,27.354,0,0
1.3473,3.4031e+05,0,1.9411e-05,0.46903,230.65,-1.9168,0,1.2822e+05,3.9228e+17,0,0,0,320.45,0,,35.527,27.427,0,0
1.3513,3.4134e+05,0,1.9413e-05,0.46869,231.19,-1.9238,0,1.2862e+05,3.9797e+17,0,0,0,320.48,0,,35.6,27.5,0,0
1.3554,3.4237e+05,0,1.9414e-05,0.46835,231.73,-1.9308,0,1.2903e+05,4.0365e+17,0,0,0,320.51,0,,35.673,27.573,0,0
1.3592,3.4333e+05,0,1.9415e-05,0.46818,232.3,-1.9387,0,1.2939e+05,4.0882e+17,0,0,0,320.53,0,,35.746,27.646,0,0
1.3628,3.4426e+05,0,1.9416e-05,0.46804,232.86,-1.9467,0,1.2975e+05,4.1388e+17,0,0,0,320.55,0,,35.819,27.719,0,0
1.3665,3.4519e+05,0,1.9417e-05,0.46791,233.42,-1.9548,0,1.301e+05,4.1894e+17,0,0,0,320.57,0,,35.892,27.792,0,0
1.3701,3.4613e+05,0,1.9418e-05,0.46777,233.99,-1.9629,0,1.3046e+05,4.2401e+17,0,0,0,320.59,0,,35.965,27.865,0,0
1.3738,3.4706e+05,0,1.9419e-05,0.46763,234.55,-1.9709,0,1.3081e+05,4.2907e+17,0,0,0,320.61,0,,36.038,27.938,0,0
1.3775,3.4801e+05,0,1.9419e-05,0.46751,235.13,-1.9801,0,1.3118e+05,4.3421e+17,0,0,0,320.63,0,,36.111,28.011,0,0
1.3812,3.4897e+05,0,1.942e-05,0.46738,235.71,-1.9897,0,1.3154e+05,4.3938e+17,0,0,0,320.65,0,,36.185,28.084,0,0
1.385,3.4992e+05,0,1.9421e-05,0.46726,236.29,-1.9992,0,1.319e+05,4.4455e+17,0,0,0,320.67,0,,36.258,28.158,0,0
1.3887,3.5088e+05,0,1.9422e-05,0.46713,236.87,-2.0088,0,1.3227e+05,4.4971e+17,0,0,0,320.7,0,,36.331,28.231,0,0
1.3924,3.5183e+05,0,1.9423e-05,0.46701,237.46,-2.0183,0,1.3263e+05,4.5488e+17,0,0,0,320.72,0,,36.404,28.304,0,0
1.3963,3.5282e+05,0,1.9424e-05,0.46695,238.09,-2.0186,0,1.3301e+05,4.602e+17,0,0,0,320.74,0,,36.477,28.377,0,0
1.4002,3.5382e+05,0,1.9425e-05,0.46692,238.75,-2.0147,0,1.3339e+05,4.6559e+17,0,0,0,320.76,0,,36.55,28.45,0,0
1.4041,3.5483e+05,0,1.9426e-05,0.46689,239.4,-2.0107,0,1.3377e+05,4.7098e+17,0,0,0,320.78,0,,36.623,28.523,0,0
1.408,3.5583e+05,0,1.9427e-05,0.46686,240.06,-2.0067,0,1.3415e+05,4.7638e+17,0,0,0,320.8,0,,36.696,28.596,0,0
1.4119,3.5684e+05,0,1.9428e-05,0.46683,240.72,-2.0027,0,1.3453e+05,4.8177e+17,0,0,0,320.82,0,,36.769,28.669,0,0
1.4158,3.5785e+05,0,1.9429e-05,0.46674,241.35,-1.9876,0,1.3491e+05,4.8721e+17,0,0,0,320.84,0,,36.842,28.742,0,0
1.4197,3.5886e+05,0,1.9431e-05,0.46662,241.96,-1.9649,0,1.353e+05,4.9269e+17,0,0,0,320.88,0,,36.916,28.816,0,0
1.4236,3.5987e+05,0,1.9432e-05,0.46649,242.57,-1.9422,0,1.3568e+05,4.9817e+17,0,0,0,320.91,0,,36.989,28.889,0,0
1.4275,3.6088e+05,0,1.9434e-05,0.46636,243.18,-1.9194,0,1.3607e+05,5.0364e+17,0,0,0,320.94,0,,37.062,28.962,0,0
