,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
53,7.0575,0.0001811,1812900.0,0,1.9542e-05,0.50013,1294.1,-1.7544,0,298600.0,677670.0,-218440.0,0,0,0,323.3,7.6622,0,,0.0038743,-0.0042257,0,0,804283.1746714032,0.9999677656385098
54,7.0207,0.00018098,1804800.0,0,1.9512e-05,0.51076,1313.4,-1.5914,0,296630.0,672760.0,-227210.0,0,0,0,322.64,7.6464,0,,0.0039474,-0.0041526,0,0,804170.0756882505,0.9999409515949681
55,6.9812,0.0001808,1796200.0,0,1.9478e-05,0.52232,1334.1,-1.548,0,295280.0,667460.0,-236680.0,0,0,0,321.91,7.6474,0,,0.0040205,-0.0040795,0,0,804167.7408949517,0.9999114713262074
56,6.9413,0.00018057,1787400.0,0,1.9444e-05,0.53389,1354.2,-1.5141,0,293830.0,662100.0,-246250.0,0,0,0,321.16,7.6436,0,,0.0040936,-0.0040064,0,0,804231.7948497717,0.9998813656959326
57,6.9004,0.00018033,1778400.0,0,1.9409e-05,0.54553,1374.0,-1.474,0,292400.0,656630.0,-256020.0,0,0,0,320.4,7.6414,0,,0.0041667,-0.0039333,0,0,804210.255718753,0.9998510516226811
58,6.8577,0.00018004,1769000.0,0,1.9373e-05,0.5574,1393.5,-1.4629,0,291120.0,650960.0,-266140.0,0,0,0,319.61,7.6427,0,,0.0042398,-0.0038602,0,0,804164.7696267444,0.9998197489274872
59,6.8135,0.00017978,1759300.0,0,1.9335e-05,0.56963,1413.0,-1.4175,0,289790.0,645100.0,-276610.0,0,0,0,318.79,7.6461,0,,0.0043129,-0.0037871,0,0,804102.4690273344,0.9997874827847378
60,6.7687,0.00017945,1749400.0,0,1.9296e-05,0.58178,1431.8,-1.3791,0,288530.0,639170.0,-287200.0,0,0,0,317.95,7.6492,0,,0.004386,-0.003714,0,0,804081.2881996135,0.9997546572561083
61,6.7215,0.00017906,1738900.0,0,1.9255e-05,0.59458,1451.0,-1.3269,0,287490.0,632910.0,-298380.0,0,0,0,317.04,7.659,0,,0.0044591,-0.0036409,0,0,804212.662903483,0.9997193234389642
62,6.6739,0.00017865,1728400.0,0,1.9213e-05,0.60727,1469.4,-1.2962,0,286400.0,626640.0,-309570.0,0,0,0,316.14,7.6664,0,,0.0045322,-0.0035678,0,0,804184.9104961251,0.9996846813147104
63,6.6246,0.00017819,1717500.0,0,1.917e-05,0.62023,1487.5,-1.2906,0,285380.0,620170.0,-321120.0,0,0,0,315.21,7.6766,0,,0.0046053,-0.0034947,0,0,804106.5456659254,0.9996491842513634
