,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
530,1.6475,450750.0,1.1741,643.04,-9.0384,0,130090.0,4.1879e+17,265.87,,38.743,30.643,0,0,303672.43818184844,302164.85749999696,6641.530977794032,0.9992931720467653
531,1.6584,453730.0,1.1739,647.22,-9.0648,0,130960.0,4.3118e+17,265.89,,38.816,30.716,0,0,305630.281205485,304117.68485139275,6639.623143144951,0.9992888319390684
532,1.6693,456710.0,1.1737,651.4,-9.0911,0,131840.0,4.4356e+17,265.91,,38.889,30.789,0,0,307610.5957629616,306092.9244107155,6637.705800388634,0.9992844429516863
533,1.6802,459690.0,1.1735,655.59,-9.1175,0,132710.0,4.5594e+17,265.93,,38.962,30.862,0,0,309566.53508504375,308043.9606912838,6635.824133043142,0.9992801129263232
534,1.6912,462670.0,1.1733,659.77,-9.1439,0,133580.0,4.6833e+17,265.95,,39.035,30.935,0,0,311521.5256747539,309994.1040497993,6633.955218511162,0.9992757879228037
535,1.6998,465110.0,1.1732,663.16,-8.9438,0,134290.0,4.7842e+17,266.0,,39.108,31.008,0,0,312977.12287260714,311444.9562266908,6632.571309300653,0.9992728741581552
536,1.7072,467230.0,1.1731,666.08,-8.6095,0,134910.0,4.8716e+17,266.06,,39.182,31.082,0,0,314178.868308265,312643.21744653257,6631.433590323713,0.9992706352684442
537,1.7145,469340.0,1.1731,669.0,-8.2752,0,135520.0,4.959e+17,266.13,,39.255,31.155,0,0,315313.65775016224,313772.4602379064,6630.363246893667,0.999268642267907
538,1.7219,471460.0,1.173,671.92,-7.9409,0,136140.0,5.0464e+17,266.2,,39.328,31.228,0,0,316469.5418476229,314925.10870755615,6629.276958684158,0.9992666061430721
539,1.7293,473580.0,1.1729,674.84,-7.6065,0,136750.0,5.1338e+17,266.26,,39.401,31.301,0,0,317641.708810721,316093.97609047627,6628.179411296475,0.9992644496641888
540,1.7366,475700.0,1.1729,677.76,-7.2722,0,137370.0,5.2212e+17,266.33,,39.474,31.374,0,0,318793.19878878153,317239.85534844984,6627.105160172557,0.9992624338754964
541,1.744,477810.0,1.1728,680.68,-6.9379,0,137980.0,5.3086e+17,266.39,,39.547,31.447,0,0,319961.3038325084,318404.70495173073,6626.019364809739,0.9992602962286743
542,1.7513,479930.0,1.1727,683.61,-6.6036,0,138600.0,5.396e+17,266.46,,39.62,31.52,0,0,321108.414287074,319548.67746068176,6624.956934595092,0.9992583007140573
543,1.7587,482050.0,1.1727,686.53,-6.2692,0,139210.0,5.4834e+17,266.53,,39.693,31.593,0,0,322230.0203054655,320664.8354430401,6623.921788512715,0.9992563687088328
544,1.766,484160.0,1.1726,689.45,-5.9349,0,139830.0,5.5708e+17,266.59,,39.766,31.666,0,0,323415.2159759045,321846.7321615226,6622.83186163089,0.999254206540977
545,1.7723,486030.0,1.1727,692.03,-5.5924,0,140370.0,5.6469e+17,266.66,,39.84,31.74,0,0,324370.0928393782,322794.5128898303,6621.956640625436,0.9992526644794755
546,1.7735,486620.0,1.1732,692.9,-5.2086,0,140500.0,5.6662e+17,266.75,,39.913,31.813,0,0,324287.2697213661,322699.734716245,6622.032452544779,0.99925367017975
547,1.7746,487210.0,1.1737,693.76,-4.8248,0,140640.0,5.6855e+17,266.84,,39.986,31.886,0,0,324227.4651095046,322627.81040909485,6622.087206575425,0.9992546241080835
548,1.7757,487810.0,1.1742,694.63,-4.441,0,140770.0,5.7048e+17,266.92,,40.059,31.959,0,0,324186.9982681171,322575.07485847163,6622.124261665532,0.9992554437795902
549,1.7768,488400.0,1.1748,695.5,-4.0573,0,140910.0,5.7241e+17,267.01,,40.132,32.032,0,0,324126.83488978044,322500.1754641831,6622.179361231631,0.9992563998015025
550,1.778,488990.0,1.1753,696.37,-3.6735,0,141050.0,5.7435e+17,267.1,,40.205,32.105,0,0,324066.4905594117,322427.5436954445,6622.234636792512,0.9992573568915907
551,1.7791,489590.0,1.1758,697.24,-3.2897,0,141180.0,5.7628e+17,267.19,,40.278,32.178,0,0,323982.92507343926,322331.7561917938,6622.311199977791,0.9992583671856443
552,1.7802,490180.0,1.1763,698.11,-2.9059,0,141320.0,5.7821e+17,267.27,,40.351,32.251,0,0,323964.8025005467,322301.02437350235,6622.327806591034,0.9992591387247566
553,1.7814,490770.0,1.1768,698.98,-2.5221,0,141450.0,5.8014e+17,267.36,,40.424,32.324,0,0,323880.93436610745,322204.8309248956,6622.404671219734,0.9992601508616427
554,1.7825,491370.0,1.1774,699.85,-2.1384,0,141590.0,5.8207e+17,267.45,,40.497,32.397,0,0,323819.9045445325,322128.736324237,6622.46061718487,0.9992611120221853
555,1.7836,491960.0,1.1779,700.72,-1.7546,0,141730.0,5.84e+17,267.54,,40.571,32.471,0,0,323758.69693479786,322054.97001472645,6622.516736719231,0.999262074235416
556,1.7811,491430.0,1.18,700.72,-1.4253,0,141430.0,5.7986e+17,267.36,,40.644,32.544,0,0,323834.95506726304,322076.092017235,6622.446819411315,0.9992602546863157
557,1.7764,490250.0,1.183,700.22,-1.1274,0,140900.0,5.7222e+17,267.04,,40.717,32.617,0,0,323975.91892123275,322136.28234925907,6622.317619950551,0.9992570153042535
558,1.7718,489070.0,1.1861,699.71,-0.82957,0,140360.0,5.6457e+17,266.71,,40.79,32.69,0,0,324133.45443907275,322207.99387057446,6622.173298337291,0.9992536570875266
559,1.7671,487890.0,1.1891,699.21,-0.53172,0,139820.0,5.5692e+17,266.39,,40.863,32.763,0,0,324245.24934138736,322234.7505286724,6622.0709231912815,0.9992505038423399
560,1.7624,486710.0,1.1922,698.7,-0.23389,0,139280.0,5.4928e+17,266.06,,40.936,32.836,0,0,324396.6710309028,322295.7647902496,6621.932316443048,0.9992471797976462
561,1.7578,485540.0,1.1952,698.2,0.063964,0,138740.0,5.4163e+17,265.74,,41.009,32.909,0,0,324502.13932331273,322311.75854595925,6621.835812234921,0.9992440614732451
562,1.7531,484360.0,1.1982,697.69,0.36182,0,138200.0,5.3399e+17,265.41,,41.082,32.982,0,0,324647.29737280693,322364.9488461238,6621.703042882919,0.9992407723100707
563,1.7484,483180.0,1.2013,697.19,0.65967,0,137660.0,5.2634e+17,265.09,,41.155,33.055,0,0,324746.2886579623,322366.917518382,6621.612534165779,0.9992376896145678
564,1.7438,482000.0,1.2043,696.68,0.9575,0,137130.0,5.187e+17,264.76,,41.228,33.128,0,0,324908.81848187634,322432.7758070805,6621.463991339152,0.9992343806089332
565,1.7391,480820.0,1.2073,696.18,1.2554,0,136590.0,5.1105e+17,264.44,,41.301,33.201,0,0,325001.2800089408,322426.83655965736,6621.379520018849,0.999231333817876
566,1.7343,479620.0,1.2104,695.66,1.5473,0,136040.0,5.033e+17,264.11,,41.375,33.275,0,0,325109.5596257938,322430.9631690735,6621.280628088927,0.9992281724852542
567,1.727,477780.0,1.2149,694.57,1.6356,0,135240.0,4.9192e+17,263.65,,41.448,33.348,0,0,325174.14534833113,322340.846939564,6621.221657531236,0.9992239879685209
568,1.7197,475940.0,1.2193,693.47,1.7238,0,134440.0,4.8053e+17,263.19,,41.521,33.421,0,0,325230.79176700267,322241.40264807997,6621.169945663511,0.9992198457725882
569,1.7124,474100.0,1.2238,692.38,1.8121,0,133640.0,4.6915e+17,262.72,,41.594,33.494,0,0,325322.84046082845,322168.46475686337,6621.08593466589,0.9992155564285463
570,1.705,472260.0,1.2283,691.29,1.9003,0,132840.0,4.5777e+17,262.26,,41.667,33.567,0,0,325363.3032593037,322039.33369971154,6621.049012599468,0.9992115004475893
571,1.6977,470410.0,1.2327,690.19,1.9885,0,132030.0,4.4638e+17,261.8,,41.74,33.64,0,0,325370.69461532857,321876.31075554364,6621.04226852104,0.9992075482185728
572,1.6904,468570.0,1.2372,689.1,2.0768,0,131230.0,4.35e+17,261.34,,41.813,33.713,0,0,325394.21070433635,321720.32824315625,6621.020812823765,0.9992035817343725
573,1.6831,466730.0,1.2417,688.01,2.165,0,130430.0,4.2362e+17,260.88,,41.886,33.786,0,0,325409.12571206986,321550.72399143904,6621.007205421719,0.9991996605892008
574,1.6757,464890.0,1.2461,686.91,2.2533,0,129630.0,4.1223e+17,260.42,,41.959,33.859,0,0,325415.30181716185,321371.6268661603,6621.001570958465,0.9991957854067546
575,1.6684,463050.0,1.2506,685.82,2.3415,0,128830.0,4.0085e+17,259.96,,42.033,33.932,0,0,325412.5991996561,321174.482670296,6621.004036542141,0.999191956818258
576,1.6611,461200.0,1.2551,684.73,2.4297,0,128030.0,3.8947e+17,259.5,,42.106,34.006,0,0,325400.87599232135,320963.308174986,6621.014731807896,0.9991881754625612
577,1.6535,459300.0,1.2599,683.56,2.4949,0,127200.0,3.7769e+17,259.01,,42.179,34.079,0,0,325435.2568073419,320778.61426684714,6620.983366745856,0.9991840587586792
578,1.6453,457270.0,1.2653,682.27,2.5169,0,126310.0,3.6516e+17,258.46,,42.252,34.152,0,0,325569.8707366664,320658.25470925635,6620.860592487277,0.999179230728723
579,1.6372,455230.0,1.2707,680.97,2.5389,0,125430.0,3.5264e+17,257.91,,42.325,34.225,0,0,325719.5509920811,320545.0726932805,6620.724136610627,0.9991743965896474
580,1.629,453200.0,1.2761,679.67,2.5608,0,124550.0,3.4012e+17,257.37,,42.398,34.298,0,0,325813.9532933758,320369.8450452254,6620.638107067478,0.9991698134657795
581,1.6209,451170.0,1.2815,678.37,2.5828,0,123670.0,3.2759e+17,256.82,,42.471,34.371,0,0,325941.63354684814,320219.69826764544,6620.521790699488,0.999165097911032
582,1.6127,449140.0,1.2869,677.07,2.6048,0,122790.0,3.1507e+17,256.27,,42.544,34.444,0,0,326058.0375136836,320050.803960588,6620.415786697413,0.999160443017237
583,1.6046,447110.0,1.2923,675.78,2.6268,0,121910.0,3.0255e+17,255.73,,42.617,34.517,0,0,326118.1679682391,319819.05651574204,6620.361043337849,0.9991560429587408
584,1.5964,445080.0,1.2977,674.48,2.6488,0,121020.0,2.9002e+17,255.18,,42.69,34.59,0,0,326184.1667226689,319585.4909012649,6620.300969030149,0.9991515824946571
585,1.5883,443050.0,1.3031,673.18,2.6707,0,120140.0,2.775e+17,254.63,,42.764,34.664,0,0,326265.0470428218,319358.9155738842,6620.227365593019,0.9991471169578177
586,1.5801,441020.0,1.3086,671.88,2.6927,0,119260.0,2.6498e+17,254.09,,42.837,34.737,0,0,326288.6339168187,319062.8426108733,6620.205904286538,0.999142910138899
587,1.572,438980.0,1.314,670.59,2.7147,0,118380.0,2.5245e+17,253.54,,42.91,34.81,0,0,326344.73949142464,318796.7887866521,6620.1548609933425,0.9991385756700364
588,1.5637,436930.0,1.3198,669.19,2.7243,0,117490.0,2.3984e+17,252.96,,42.983,34.883,0,0,326496.1391911782,318591.567763591,6620.017165504956,0.9991337986241781
589,1.5553,434860.0,1.3258,667.74,2.7256,0,116600.0,2.2717e+17,252.36,,43.056,34.956,0,0,326725.6947849911,318441.0146443367,6619.808510267722,0.9991287007325754
590,1.547,432780.0,1.3319,666.28,2.7268,0,115710.0,2.145e+17,251.76,,43.129,35.029,0,0,326942.77487486956,318262.1832532183,6619.6113294582065,0.9991236713505653
591,1.5386,430710.0,1.3379,664.83,2.7281,0,114810.0,2.0183e+17,251.16,,43.202,35.102,0,0,327118.4902347029,318039.8383823915,6619.451817393118,0.9991187881915929
592,1.5303,428640.0,1.344,663.37,2.7294,0,113920.0,1.8916e+17,250.56,,43.275,35.175,0,0,327309.50610915024,317816.06245836185,6619.278512862596,0.9991139007971032
