,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s
112,0.10528,24316.0,0.71514,25.316,-0.068076,0,8508.2,-4.1569e+17,272.1,,0.011034,-0.0094855,0,0,11961.098447203969,11961.098447203969,3140.12399884854
113,0.10466,24193.0,0.72415,25.45,-0.067084,0,8438.6,-4.2398e+17,271.46,,0.011133,-0.009387,0,0,11959.927427151997,11959.927427151997,3140.1156894002365
114,0.10404,24070.0,0.73316,25.584,-0.066091,0,8369.0,-4.3226e+17,270.81,,0.011231,-0.0092885,0,0,11960.372138731125,11960.372138731125,3140.083422399549
115,0.10342,23948.0,0.74217,25.718,-0.065099,0,8299.4,-4.4055e+17,270.17,,0.01133,-0.0091899,0,0,11962.178974079581,11962.178974079581,3140.104185320486
116,0.10281,23825.0,0.75118,25.852,-0.064106,0,8229.8,-4.4883e+17,269.53,,0.011428,-0.0090914,0,0,11964.712157659971,11964.712157659971,3140.1400029778742
117,0.10216,23695.0,0.76052,25.967,-0.063241,0,8157.2,-4.5748e+17,268.84,,0.011527,-0.0089929,0,0,11962.252272505886,11962.252272505886,3140.1070983922828
118,0.1015,23563.0,0.76992,26.08,-0.0624,0,8083.9,-4.662e+17,268.14,,0.011625,-0.0088944,0,0,11960.64589264098,11960.64589264098,3140.0778234693066
119,0.10084,23431.0,0.77933,26.192,-0.061559,0,8010.6,-4.7492e+17,267.44,,0.011724,-0.0087959,0,0,11960.28582727728,11960.28582727728,3140.065883918903
120,0.10018,23299.0,0.78873,26.305,-0.060718,0,7937.4,-4.8364e+17,266.75,,0.011822,-0.0086973,0,0,11961.884491720004,11961.884491720004,3140.1069195692203
121,0.099523,23167.0,0.79813,26.417,-0.059877,0,7864.1,-4.9236e+17,266.05,,0.011921,-0.0085988,0,0,11964.552977888588,11964.552977888588,3140.130966110979
122,0.098847,23031.0,0.80772,26.511,-0.058999,0,7789.7,-5.0123e+17,265.32,,0.012019,-0.0085003,0,0,11963.092875367473,11963.092875367473,3140.0980268394155
123,0.098167,22893.0,0.81735,26.599,-0.058112,0,7714.9,-5.1013e+17,264.58,,0.012118,-0.0084018,0,0,11961.016281568462,11961.016281568462,3140.0604232478013
124,0.097486,22756.0,0.82699,26.688,-0.057225,0,7640.1,-5.1903e+17,263.84,,0.012216,-0.0083033,0,0,11961.05424087087,11961.05424087087,3140.0426083235334
125,0.096806,22618.0,0.83662,26.777,-0.056337,0,7565.4,-5.2793e+17,263.11,,0.012315,-0.0082048,0,0,11962.655197066151,11962.655197066151,3140.0806689429287
126,0.096125,22481.0,0.84626,26.865,-0.05545,0,7490.6,-5.3683e+17,262.37,,0.012413,-0.0081062,0,0,11965.765357475062,11965.765357475062,3140.1040307622893
127,0.095423,22338.0,0.85609,26.934,-0.054543,0,7414.4,-5.4591e+17,261.6,,0.012512,-0.0080077,0,0,11963.842504292075,11963.842504292075,3140.0856137878723
128,0.094712,22194.0,0.866,26.996,-0.053629,0,7337.6,-5.5504e+17,260.82,,0.012611,-0.0079092,0,0,11961.07203040901,11961.07203040901,3140.0739930197083
129,0.094002,22049.0,0.8759,27.058,-0.052715,0,7260.9,-5.6418e+17,260.04,,0.012709,-0.0078107,0,0,11960.066858759941,11960.066858759941,3140.0815232949676
130,0.093291,21904.0,0.88581,27.12,-0.0518,0,7184.2,-5.7331e+17,259.26,,0.012808,-0.0077122,0,0,11960.958314875139,11960.958314875139,3140.11284380545
131,0.092581,21759.0,0.89571,27.182,-0.050886,0,7107.4,-5.8245e+17,258.48,,0.012906,-0.0076136,0,0,11963.399832197441,11963.399832197441,3140.17278840305
132,0.091861,21613.0,0.90588,27.23,-0.052044,0,7030.3,-5.9163e+17,257.66,,0.013005,-0.0075151,0,0,11963.362863091537,11963.362863091537,3140.1092579049587
133,0.091137,21465.0,0.91618,27.272,-0.054146,0,6953.0,-6.0083e+17,256.84,,0.013103,-0.0074166,0,0,11962.713686591465,11962.713686591465,3140.0794646520108
134,0.090413,21317.0,0.92648,27.313,-0.056248,0,6875.7,-6.1003e+17,256.01,,0.013202,-0.0073181,0,0,11963.697602488497,11963.697602488497,3140.0351837587605
135,0.089689,21170.0,0.93677,27.355,-0.05835,0,6798.4,-6.1923e+17,255.19,,0.0133,-0.0072196,0,0,11966.797145321403,11966.797145321403,3140.0582530969473
136,0.088965,21022.0,0.94707,27.397,-0.060452,0,6721.1,-6.2844e+17,254.36,,0.013399,-0.007121,0,0,11972.125520403435,11972.125520403435,3140.068122714501
137,0.088195,20864.0,0.95799,27.425,-0.047641,0,6639.7,-6.3813e+17,253.47,,0.013497,-0.0070225,0,0,11973.791570366775,11973.791570366775,3140.0435169738707
138,0.087399,20700.0,0.96926,27.447,-0.02631,0,6555.9,-6.4811e+17,252.55,,0.013596,-0.006924,0,0,11975.071056879317,11975.071056879317,3140.035970342536
139,0.086593,20534.0,0.98066,27.466,-0.0059347,0,6471.1,-6.582e+17,251.61,,0.013694,-0.0068255,0,0,11977.42400555663,11977.42400555663,3140.026427931704
140,0.085708,20349.0,0.99308,27.468,0.0067929,0,6378.8,-6.6919e+17,250.57,,0.013793,-0.006727,0,0,11975.037189576238,11975.037189576238,3139.987610899713
141,0.084823,20165.0,1.0055,27.469,0.019521,0,6286.5,-6.8017e+17,249.53,,0.013891,-0.0066284,0,0,11974.813014423866,11974.810459965463,3139.9930772659045
142,0.083861,19963.0,1.0189,27.455,0.025048,0,6187.1,-6.9201e+17,248.39,,0.01399,-0.0065299,0,0,11971.87549546285,11971.77456806784,3139.9667329963904
143,0.082845,19749.0,1.033,27.43,0.025487,0,6082.7,-7.0444e+17,247.19,,0.014088,-0.0064314,0,0,11967.725972003374,11967.203440303792,3139.986909188533
144,0.081824,19534.0,1.0473,27.404,0.026064,0,5977.8,-7.1693e+17,245.98,,0.014187,-0.0063329,0,0,11966.715400593748,11965.218399878799,3140.0526737461055
