"Mach","P","tp","Points:0","Points:1","Points:2"
1.586,0.044172,0.12195,3.7471,0,0
1.5873,0.044127,0.12195,3.7584,0,0
1.5886,0.044082,0.12195,3.7696,0,0
1.5932,0.044044,0.12231,3.7809,0,0
1.5991,0.044008,0.12278,3.7921,0,0
1.603,0.044052,0.12329,3.8034,0,0
1.5874,0.044943,0.12418,3.8146,0,0
1.5718,0.045834,0.12507,3.8259,0,0
1.5527,0.047035,0.12635,3.8371,0,0
1.5291,0.048655,0.12818,3.8484,0,0
1.5054,0.050276,0.13,3.8596,0,0
1.4676,0.05317,0.13302,3.8708,0,0
1.4254,0.056461,0.13642,3.8821,0,0
1.3798,0.060095,0.14001,3.8933,0,0
1.3046,0.066828,0.14534,3.9046,0,0
1.2294,0.073561,0.15066,3.9158,0,0
1.1635,0.080001,0.15547,3.9271,0,0
1.1096,0.086065,0.15964,3.9383,0,0
1.0556,0.092129,0.16381,3.9496,0,0
1.0301,0.095131,0.16574,3.9608,0,0
1.0128,0.097246,0.16703,3.9721,0,0
0.99627,0.099253,0.16821,3.9833,0,0
0.98514,0.10041,0.16861,3.9946,0,0
0.97402,0.10157,0.16901,4.0058,0,0
0.96242,0.10281,0.16946,4.017,0,0
0.95025,0.10414,0.16995,4.0283,0,0
0.93808,0.10548,0.17045,4.0395,0,0
0.92409,0.10706,0.17103,4.0508,0,0
0.90961,0.1087,0.17164,4.062,0,0
0.89495,0.11037,0.17225,4.0733,0,0
0.87896,0.11221,0.17287,4.0845,0,0
0.86297,0.11405,0.17349,4.0958,0,0
0.84705,0.1159,0.17409,4.107,0,0
0.83122,0.11774,0.17466,4.1183,0,0
0.81539,0.11959,0.17523,4.1295,0,0
0.79996,0.12138,0.17574,4.1408,0,0
0.78463,0.12317,0.17623,4.152,0,0
0.76931,0.12495,0.17672,4.1632,0,0
0.75406,0.12674,0.17717,4.1745,0,0
0.73881,0.12852,0.17761,4.1857,0,0
0.72332,0.13032,0.17805,4.197,0,0
0.70758,0.13216,0.17846,4.2082,0,0
0.69183,0.13399,0.17888,4.2195,0,0
0.67562,0.13585,0.17926,4.2307,0,0
0.65931,0.13773,0.17963,4.242,0,0
0.64296,0.13959,0.17999,4.2532,0,0
0.62641,0.14146,0.18031,4.2645,0,0
0.60986,0.14332,0.18064,4.2757,0,0
0.59333,0.14515,0.18093,4.287,0,0
0.57681,0.14696,0.18119,4.2982,0,0
0.56029,0.14876,0.18146,4.3094,0,0
0.544,0.15048,0.18167,4.3207,0,0
0.52775,0.15219,0.18187,4.3319,0,0
0.51157,0.15387,0.18206,4.3432,0,0
0.4957,0.15544,0.1822,4.3544,0,0
0.47983,0.15702,0.18234,4.3657,0,0
0.4642,0.15853,0.18246,4.3769,0,0
0.44878,0.15997,0.18255,4.3882,0,0
0.43337,0.16142,0.18264,4.3994,0,0
0.41856,0.16272,0.1827,4.4107,0,0
0.40386,0.164,0.18275,4.4219,0,0
0.38938,0.16525,0.18279,4.4332,0,0
0.37592,0.16633,0.18281,4.4444,0,0
0.36245,0.16741,0.18282,4.4556,0,0
0.34997,0.16839,0.18284,4.4669,0,0
0.3384,0.16927,0.18285,4.4781,0,0
0.32684,0.17014,0.18287,4.4894,0,0
0.31761,0.17088,0.18295,4.5006,0,0
0.30877,0.17158,0.18304,4.5119,0,0
0.30057,0.17228,0.18317,4.5231,0,0
0.29507,0.1729,0.18345,4.5344,0,0
0.28958,0.17353,0.18372,4.5456,0,0
0.2856,0.17417,0.18411,4.5569,0,0
0.28297,0.17481,0.18461,4.5681,0,0
0.28034,0.17546,0.18511,4.5794,0,0
0.27908,0.17611,0.18572,4.5906,0,0
0.27802,0.17677,0.18633,4.6018,0,0
0.27709,0.17741,0.18695,4.6131,0,0
0.27665,0.178,0.18754,4.6243,0,0
0.2762,0.1786,0.18814,4.6356,0,0
0.27588,0.17915,0.18869,4.6468,0,0
0.27567,0.17966,0.18922,4.6581,0,0
0.27546,0.18018,0.18975,4.6693,0,0
0.27536,0.18062,0.19021,4.6806,0,0
0.27527,0.18106,0.19066,4.6918,0,0
0.27519,0.18148,0.1911,4.7031,0,0
0.27516,0.18186,0.1915,4.7143,0,0
0.27513,0.18224,0.19189,4.7256,0,0
0.27511,0.18259,0.19227,4.7368,0,0
0.2751,0.18293,0.19262,4.748,0,0
0.27509,0.18327,0.19298,4.7593,0,0
0.27509,0.18358,0.1933,4.7705,0,0
0.27509,0.18388,0.19362,4.7818,0,0
0.27509,0.18417,0.19393,4.793,0,0
0.27509,0.18443,0.1942,4.8043,0,0
0.27509,0.18469,0.19448,4.8155,0,0
0.27512,0.18491,0.19471,4.8268,0,0
0.27516,0.18509,0.1949,4.838,0,0
0.2752,0.18528,0.1951,4.8493,0,0
0.2753,0.18537,0.19521,4.8605,0,0
0.2754,0.18546,0.19531,4.8718,0,0
0.27553,0.18553,0.19539,4.883,0,0
0.27573,0.18555,0.19543,4.8942,0,0
0.27593,0.18557,0.19546,4.9055,0,0
0.27624,0.18556,0.19547,4.9167,0,0
0.27661,0.18553,0.19546,4.928,0,0
0.27699,0.18549,0.19545,4.9392,0,0
0.27764,0.1854,0.1954,4.9505,0,0
0.2783,0.1853,0.19535,4.9617,0,0
0.27909,0.18518,0.19528,4.973,0,0
0.2802,0.18501,0.19518,4.9842,0,0
0.28132,0.18484,0.19508,4.9955,0,0
0.28281,0.18462,0.19496,5.0067,0,0
0.28454,0.18437,0.19482,5.018,0,0
0.28627,0.18412,0.19468,5.0292,0,0
0.28866,0.1838,0.19452,5.0404,0,0
0.2911,0.18347,0.19435,5.0517,0,0
0.29374,0.18313,0.19419,5.0629,0,0
0.29692,0.18273,0.19401,5.0742,0,0
0.3001,0.18234,0.19384,5.0854,0,0
0.30374,0.18191,0.19365,5.0967,0,0
0.30768,0.18144,0.19347,5.1079,0,0
0.31163,0.18098,0.19329,5.1192,0,0
0.31631,0.18046,0.1931,5.1304,0,0
0.32103,0.17993,0.19291,5.1417,0,0
0.32599,0.17938,0.19273,5.1529,0,0
0.33156,0.17878,0.19254,5.1642,0,0
0.33712,0.17817,0.19235,5.1754,0,0
0.34328,0.17751,0.19216,5.1866,0,0
0.3498,0.17682,0.19197,5.1979,0,0
0.35631,0.17613,0.19178,5.2091,0,0
0.36386,0.17533,0.19159,5.2204,0,0
