,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
365,1.4273,2.0559,365760.0,0,1.8963e-05,0.6193,316.96,-13.252,0,445.95,131740.0,-1193300.0,0,0,0,310.75,642.28,0,,26.681,18.581,0,0,170666.61176841144,170666.61176841144,6800.296812952753,347107.75092527224,0.9998720069855833
366,1.4222,2.0715,364880.0,0,1.892e-05,0.63295,322.56,-13.123,0,443.91,130880.0,-1194900.0,0,0,0,309.82,646.51,0,,26.755,18.655,0,0,171445.50370532917,171445.50370532917,6799.123358204377,347167.3597668666,0.9998641028613445
367,1.4171,2.0869,364000.0,0,1.8877e-05,0.6466,328.13,-12.991,0,441.86,130010.0,-1196400.0,0,0,0,308.89,650.7,0,,26.828,18.728,0,0,172242.68285423433,172242.68285423433,6797.97631775645,347244.31939204247,0.9998562126694751
368,1.4102,2.0943,362690.0,0,1.8827e-05,0.66043,332.59,-12.731,0,439.58,128950.0,-1198300.0,0,0,0,307.83,652.8,0,,26.901,18.801,0,0,172842.8475803873,172842.8475803873,6796.8315559830435,347206.7364642351,0.9998473049457011
369,1.4033,2.1017,361370.0,0,1.8777e-05,0.67425,337.05,-12.471,0,437.3,127890.0,-1200200.0,0,0,0,306.76,654.89,0,,26.974,18.874,0,0,173467.73788523473,173467.73788523473,6795.66066643061,347173.3760468255,0.9998383195521913
370,1.3964,2.109,360060.0,0,1.8727e-05,0.68808,341.51,-12.21,0,435.02,126820.0,-1202100.0,0,0,0,305.7,656.99,0,,27.047,18.947,0,0,174106.26821364593,174106.26821364593,6794.555170090827,347168.3956282814,0.9998294625591724
371,1.3895,2.1164,358740.0,0,1.8677e-05,0.7019,345.97,-11.95,0,432.74,125760.0,-1204000.0,0,0,0,304.63,659.08,0,,27.12,19.02,0,0,174782.38658797502,174782.38658797502,6793.400542893765,347167.002406624,0.9998205168030709
372,1.3826,2.1238,357420.0,0,1.8626e-05,0.71572,350.43,-11.689,0,430.46,124700.0,-1205900.0,0,0,0,303.56,661.18,0,,27.193,19.093,0,0,175483.69332776082,175483.69332776082,6792.254280287688,347181.18196432857,0.9998115920851721
373,1.3757,2.1311,356110.0,0,1.8576e-05,0.72955,354.89,-11.429,0,428.18,123640.0,-1207800.0,0,0,0,302.5,663.27,0,,27.266,19.166,0,0,176211.47557452688,176211.47557452688,6791.151089109278,347223.1199430116,0.9998027883660316
374,1.3688,2.1385,354790.0,0,1.8526e-05,0.74337,359.35,-11.168,0,425.9,122580.0,-1209700.0,0,0,0,301.43,665.37,0,,27.339,19.239,0,0,176962.17455780608,176962.17455780608,6790.02249313632,347267.73276901373,0.9997939103973141
375,1.3619,2.1459,353480.0,0,1.8476e-05,0.75719,363.81,-10.908,0,423.62,121510.0,-1211600.0,0,0,0,300.37,667.46,0,,27.413,19.312,0,0,177722.39280162097,177722.39280162097,6788.962269417543,347338.7788356579,0.999785174858309
376,1.355,2.1532,352160.0,0,1.8426e-05,0.77102,368.27,-10.647,0,421.33,120450.0,-1213500.0,0,0,0,299.3,669.56,0,,27.486,19.386,0,0,178522.56809759786,178522.56809759786,6787.852704275667,347413.74886609573,0.9997763501728829
377,1.347,2.1558,350570.0,0,1.8372e-05,0.78473,371.75,-10.353,0,419.12,119310.0,-1215500.0,0,0,0,298.18,670.8,0,,27.559,19.459,0,0,179204.97274392104,179204.97274392104,6786.777789907836,347433.0267482795,0.9997672018839053
378,1.3386,2.1563,348870.0,0,1.8317e-05,0.79839,374.81,-10.044,0,416.94,118120.0,-1217600.0,0,0,0,297.03,671.68,0,,27.632,19.532,0,0,179821.3711777621,179821.3711777621,6785.736183442663,347425.534221692,0.9997578879061683
379,1.3302,2.1568,347170.0,0,1.8262e-05,0.81205,377.87,-9.7351,0,414.76,116940.0,-1219700.0,0,0,0,295.88,672.57,0,,27.705,19.605,0,0,180469.3261560415,180469.3261560415,6784.683791725325,347430.6464103831,0.9997485992035379
380,1.3218,2.1573,345460.0,0,1.8207e-05,0.82571,380.93,-9.4264,0,412.58,115760.0,-1221900.0,0,0,0,294.73,673.45,0,,27.778,19.678,0,0,181133.19048505186,181133.19048505186,6783.646041208319,347448.1136213298,0.9997393572376957
381,1.3134,2.1578,343760.0,0,1.8153e-05,0.83937,384.0,-9.1177,0,410.4,114580.0,-1224000.0,0,0,0,293.58,674.34,0,,27.851,19.751,0,0,181812.32315548297,181812.32315548297,6782.623428496866,347477.66710987064,0.9997301642937703
382,1.305,2.1583,342060.0,0,1.8098e-05,0.85303,387.06,-8.8089,0,408.21,113400.0,-1226100.0,0,0,0,292.43,675.22,0,,27.924,19.824,0,0,182506.06209033966,182506.06209033966,6781.616468034559,347519.03817700647,0.9997210227241007
383,1.2966,2.1588,340350.0,0,1.8043e-05,0.86669,390.12,-8.5002,0,406.03,112220.0,-1228200.0,0,0,0,291.28,676.11,0,,27.997,19.897,0,0,183213.72298148528,183213.72298148528,6780.625692886491,347571.9581711006,0.9997119349502579
384,1.2882,2.1593,338650.0,0,1.7988e-05,0.88035,393.18,-8.1914,0,403.85,111040.0,-1230300.0,0,0,0,290.13,677.0,0,,28.07,19.97,0,0,183934.598098911,183934.598098911,6779.651655564496,347636.1584895793,0.9997029034651322
385,1.2798,2.1598,336950.0,0,1.7933e-05,0.89401,396.24,-7.8827,0,401.67,109860.0,-1232400.0,0,0,0,288.98,677.88,0,,28.143,20.043,0,0,184667.95507190836,184667.95507190836,6778.694928897206,347711.3705806326,0.9996939308350895
