,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
799,1.1467,298720.0,0.71428,292.53,-1.1665,0,104550.0,5.6144e+16,306.97,,58.407,50.307,0,0,146925.43600190256,146925.43600190256,6856.3318880649085,351001.6164290553,0.9998689552851733
800,1.1368,296500.0,0.72624,294.51,-1.1149,0,103340.0,3.888e+16,306.07,,58.48,50.38,0,0,146821.00950537375,146821.00950537375,6856.736945148959,351067.25445264403,0.9998634265188093
801,1.1262,294130.0,0.73907,296.34,-1.0535,0,102050.0,2.0556e+16,305.07,,58.553,50.453,0,0,146722.11883664422,146722.11883664422,6857.065619879323,351110.79554081435,0.9998572997887475
802,1.1156,291750.0,0.75196,298.17,-0.9915,0,100750.0,2154200000000000.0,304.06,,58.626,50.526,0,0,146618.07292522117,146618.07292522117,6857.425965393964,351161.4828047839,0.999851199026234
803,1.105,289360.0,0.76485,299.99,-0.92945,0,99456.0,-1.6248e+16,303.04,,58.699,50.599,0,0,146522.92342178014,146522.92342178014,6857.772089086681,351213.4134959747,0.999845104263201
804,1.0939,286850.0,0.77834,301.57,-0.85376,0,98106.0,-3.541e+16,301.96,,58.772,50.672,0,0,146428.95977594703,146428.95977594703,6858.119677296787,351266.61905196874,0.9998387224097148
805,1.0827,284330.0,0.7919,303.11,-0.77611,0,96750.0,-5.4679e+16,300.86,,58.845,50.745,0,0,146334.40504833686,146334.40504833686,6858.459555457132,351316.77464528364,0.9998322994450192
806,1.0715,281800.0,0.80547,304.66,-0.69845,0,95392.0,-7.395e+16,299.76,,58.919,50.819,0,0,146235.53870507807,146235.53870507807,6858.850239512532,351381.13693580055,0.9998259905462847
807,1.0601,279250.0,0.81952,306.01,-0.6184,0,94025.0,-9.3373e+16,298.61,,58.992,50.892,0,0,146189.76979598065,146189.76979598065,6859.14137973632,351448.2723907832,0.9998194168567324
808,1.0487,276690.0,0.83367,307.33,-0.53782,0,92654.0,-1.1283e+17,297.45,,59.065,50.965,0,0,146148.9315161671,146148.9315161671,6859.457849617381,351527.3849491877,0.9998128901604052
809,1.0373,274130.0,0.84782,308.64,-0.45724,0,91284.0,-1.3229e+17,296.29,,59.138,51.038,0,0,146104.85592992016,146104.85592992016,6859.820413722135,351619.8988524619,0.9998064840779871
810,1.0256,271440.0,0.86182,309.5,-0.45095,0,89890.0,-1.5209e+17,295.07,,59.211,51.111,0,0,145992.65766448787,145992.65766448787,6860.101792127061,351637.9764449004,0.9997997797444902
811,1.0138,268690.0,0.87576,310.21,-0.47089,0,88486.0,-1.7202e+17,293.83,,59.284,51.184,0,0,145845.46763329802,145845.46763329802,6860.399719970547,351637.47090673295,0.9997930733744416
812,1.0021,265950.0,0.88971,310.91,-0.49083,0,87083.0,-1.9195e+17,292.6,,59.357,51.257,0,0,145690.16175483598,145690.16175483598,6860.786221147142,351661.2775211401,0.9997865851106054
813,0.99062,263300.0,0.90365,311.48,-0.42894,0,85726.0,-2.1122e+17,291.35,,59.43,51.33,0,0,145598.64937539803,145598.64937539803,6861.000486475054,351670.6849063165,0.9997799652124437
814,0.97937,260690.0,0.91759,311.98,-0.32505,0,84392.0,-2.3017e+17,290.1,,59.503,51.403,0,0,145534.83824076876,145534.83824076876,6861.189111288414,351690.5142066673,0.999773423213446
815,0.96812,258080.0,0.93153,312.47,-0.22117,0,83057.0,-2.4911e+17,288.85,,59.576,51.477,0,0,145457.0153526865,145457.0153526865,6861.436370521057,351720.5087486664,0.9997670225577823
816,0.957,255490.0,0.94543,312.79,-0.17452,0,81746.0,-2.6773e+17,287.59,,59.65,51.55,0,0,145401.53616189983,145401.53616189983,6861.617506260586,351743.525445972,0.9997606152835908
817,0.94597,252920.0,0.9593,312.98,-0.16883,0,80452.0,-2.8611e+17,286.32,,59.723,51.623,0,0,145357.66425858001,145357.66425858001,6861.756010195581,351760.1121129746,0.9997542181716517
818,0.93493,250350.0,0.97316,313.16,-0.16314,0,79157.0,-3.045e+17,285.05,,59.796,51.696,0,0,145295.43993206279,145295.43993206279,6861.95479474918,351784.41687989107,0.9997479671235875
819,0.92389,247770.0,0.98697,313.16,-0.13048,0,77874.0,-3.2273e+17,283.78,,59.869,51.769,0,0,145230.68886689076,145230.68886689076,6862.166744771898,351811.4177609134,0.9997418248776351
820,0.91283,245170.0,1.0007,312.96,-0.071365,0,76601.0,-3.408e+17,282.51,,59.942,51.842,0,0,145153.7728903324,145153.77282588297,6862.3998049396805,351837.1237910834,0.9997357988295297
821,0.90178,242570.0,1.0145,312.76,-0.012247,0,75328.0,-3.5888e+17,281.23,,60.015,51.915,0,0,145069.99851737052,145069.44146742343,6862.657012065386,351866.2332453769,0.9997298446052463
822,0.89084,240000.0,1.0283,312.47,0.044658,0,74075.0,-3.7666e+17,279.96,,60.088,51.988,0,0,145005.08737529823,145001.05789035186,6862.934519100868,351915.2934387237,0.9997240562404083
823,0.88007,237480.0,1.0421,312.06,0.098293,0,72854.0,-3.9401e+17,278.69,,60.161,52.061,0,0,144983.14592423983,144970.22976748727,6863.145097904541,351971.48405052215,0.9997183035296109
824,0.8693,234950.0,1.0559,311.65,0.15193,0,71632.0,-4.1136e+17,277.42,,60.234,52.134,0,0,144938.8355270038,144909.39059272548,6863.421798938565,352034.5734019582,0.9997127100825062
825,0.85856,232430.0,1.0697,311.15,0.19352,0,70416.0,-4.2862e+17,276.14,,60.308,52.208,0,0,144884.73922681247,144829.13834152193,6863.700254402543,352091.4567610683,0.9997071710435527
826,0.84788,229900.0,1.0837,310.48,0.20735,0,69216.0,-4.4567e+17,274.82,,60.381,52.281,0,0,144876.2370026018,144782.41903897756,6863.8248572201,352127.829602778,0.9997013998208191
827,0.83721,227370.0,1.0977,309.81,0.22119,0,68015.0,-4.6272e+17,273.51,,60.454,52.354,0,0,144841.9502983705,144696.5452663605,6864.057313128635,352182.8789311944,0.9996958803089059
828,0.82679,224900.0,1.1113,309.09,0.26902,0,66850.0,-4.7927e+17,272.23,,60.527,52.427,0,0,144787.7878239574,144578.11149516117,6864.313175495849,352232.0451149162,0.9996906139840873
829,0.81735,222650.0,1.1232,308.15,0.45164,0,65821.0,-4.9387e+17,271.12,,60.6,52.5,0,0,144698.09511507253,144419.87628752718,6864.674071014142,352292.1213251078,0.9996862713226472
830,0.80791,220400.0,1.1351,307.21,0.63424,0,64793.0,-5.0847e+17,270.0,,60.673,52.573,0,0,144588.97937610705,144230.02672106918,6865.04709640007,352342.74829515634,0.9996819763115228
831,0.79867,218190.0,1.1468,306.26,0.79797,0,63788.0,-5.2275e+17,268.91,,60.746,52.646,0,0,144472.35844571775,144021.5666082346,6865.48596316266,352410.44977917994,0.9996779525929439
