"Mach","Pressure","Temperature","p","u","x","Points:0","Points:1","Points:2"
0.25175,1.5486e+05,332.94,0.19275,93.67,1.9253,12.514,0,0
0.24915,1.5502e+05,333.02,0.19295,92.714,1.9365,12.587,0,0
0.24669,1.5518e+05,333.11,0.19314,91.807,1.9478,12.66,0,0
0.24429,1.5532e+05,333.19,0.19333,90.927,1.959,12.733,0,0
0.24206,1.5542e+05,333.25,0.19345,90.106,1.9702,12.807,0,0
0.23992,1.5553e+05,333.31,0.19358,89.317,1.9815,12.88,0,0
0.23785,1.5565e+05,333.38,0.19373,88.555,1.9927,12.953,0,0
0.23592,1.5577e+05,333.46,0.19389,87.845,2.004,13.026,0,0
0.23404,1.5588e+05,333.52,0.19402,87.154,2.0152,13.099,0,0
0.23225,1.5595e+05,333.56,0.19411,86.496,2.0265,13.172,0,0
0.23054,1.5604e+05,333.61,0.19422,85.864,2.0377,13.245,0,0
0.22887,1.5614e+05,333.67,0.19434,85.248,2.049,13.318,0,0
0.2273,1.5623e+05,333.73,0.19446,84.673,2.0602,13.391,0,0
0.22579,1.5632e+05,333.78,0.19456,84.116,2.0715,13.464,0,0
0.22441,1.5637e+05,333.81,0.19463,83.605,2.0827,13.538,0,0
0.22309,1.5642e+05,333.85,0.19469,83.118,2.094,13.611,0,0
0.22186,1.5648e+05,333.88,0.19477,82.663,2.1052,13.684,0,0
0.22068,1.5654e+05,333.91,0.19485,82.227,2.1164,13.757,0,0
0.21953,1.5661e+05,333.95,0.19492,81.804,2.1277,13.83,0,0
0.21843,1.5665e+05,333.97,0.19497,81.398,2.1389,13.903,0,0
0.21736,1.5668e+05,333.98,0.19501,80.998,2.1502,13.976,0,0
0.21622,1.5671e+05,334,0.19506,80.577,2.1614,14.049,0,0
0.21507,1.5675e+05,334.02,0.1951,80.152,2.1727,14.122,0,0
0.21392,1.5677e+05,334.04,0.19513,79.725,2.1839,14.195,0,0
0.21277,1.5678e+05,334.05,0.19514,79.299,2.1952,14.269,0,0
0.2118,1.5678e+05,334.06,0.19513,78.937,2.2064,14.342,0,0
0.21088,1.5676e+05,334.05,0.19511,78.592,2.2177,14.415,0,0
0.21024,1.5674e+05,334.04,0.19509,78.353,2.2289,14.488,0,0
0.20974,1.5671e+05,334.02,0.19505,78.166,2.2402,14.561,0,0
0.20954,1.5667e+05,334,0.195,78.086,2.2514,14.634,0,0
