"Pressure","Points:0","Points:1","Points:2"
0.7627,57.763,0,0
0.76412,57.836,0,0
0.76555,57.909,0,0
0.76697,57.982,0,0
0.7684,58.056,0,0
0.76982,58.129,0,0
0.77125,58.202,0,0
0.7751,58.275,0,0
0.7792,58.348,0,0
0.7833,58.421,0,0
0.7874,58.494,0,0
0.7915,58.567,0,0
0.7956,58.64,0,0
0.79969,58.713,0,0
0.80379,58.786,0,0
0.80789,58.86,0,0
0.81199,58.933,0,0
0.81609,59.006,0,0
0.82019,59.079,0,0
0.82429,59.152,0,0
0.83198,59.225,0,0
0.84004,59.298,0,0
0.84811,59.371,0,0
0.85617,59.444,0,0
0.86424,59.518,0,0
0.8723,59.591,0,0
0.88037,59.664,0,0
0.88843,59.737,0,0
0.89649,59.81,0,0
0.90456,59.883,0,0
0.91262,59.956,0,0
0.92069,60.029,0,0
0.92875,60.102,0,0
0.93969,60.175,0,0
0.9513,60.249,0,0
0.96291,60.322,0,0
0.97453,60.395,0,0
0.98614,60.468,0,0
0.99776,60.541,0,0
1.0094,60.614,0,0
1.021,60.687,0,0
1.0326,60.76,0,0
1.0442,60.833,0,0
1.0558,60.906,0,0
1.0674,60.979,0,0
1.0791,61.053,0,0
1.0895,61.126,0,0
1.0994,61.199,0,0
1.1092,61.272,0,0
1.119,61.345,0,0
1.1288,61.418,0,0
1.1386,61.491,0,0
1.1484,61.564,0,0
1.1582,61.637,0,0
1.168,61.71,0,0
1.1779,61.784,0,0
1.1877,61.857,0,0
1.1975,61.93,0,0
1.2073,62.003,0,0
1.2152,62.076,0,0
1.2197,62.149,0,0
1.2243,62.222,0,0
1.2288,62.295,0,0
1.2334,62.368,0,0
1.2379,62.442,0,0
1.2424,62.515,0,0
1.247,62.588,0,0
1.2515,62.661,0,0
1.2561,62.734,0,0
1.2606,62.807,0,0
1.2651,62.88,0,0
1.2697,62.953,0,0
1.2742,63.026,0,0
1.2746,63.099,0,0
1.2749,63.173,0,0
1.2752,63.246,0,0
1.2755,63.319,0,0
1.2758,63.392,0,0
1.2762,63.465,0,0
1.2765,63.538,0,0
1.2768,63.611,0,0
1.2771,63.684,0,0
1.2774,63.757,0,0
1.2777,63.83,0,0
1.2781,63.903,0,0
1.2784,63.977,0,0
1.2779,64.05,0,0
1.2767,64.123,0,0
1.2756,64.196,0,0
1.2744,64.269,0,0
1.2732,64.342,0,0
1.2721,64.415,0,0
1.2709,64.488,0,0
1.2698,64.561,0,0
1.2686,64.634,0,0
1.2674,64.708,0,0
1.2663,64.781,0,0
1.2651,64.854,0,0
1.2639,64.927,0,0
1.2628,65,0,0
