"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.22626,0.18995,0.19759,2.2851,14.853,0,0
0.22397,0.19008,0.19758,2.2964,14.926,0,0
0.22153,0.19025,0.19761,2.3076,15,0,0
0.21909,0.19043,0.19764,2.3189,15.073,0,0
0.21666,0.19054,0.19762,2.3301,15.146,0,0
0.21422,0.19065,0.19758,2.3414,15.219,0,0
0.21178,0.19077,0.19757,2.3526,15.292,0,0
0.20936,0.19092,0.19758,2.3639,15.365,0,0
0.20694,0.19106,0.19759,2.3751,15.438,0,0
0.20457,0.19113,0.19753,2.3864,15.511,0,0
0.2022,0.1912,0.19747,2.3976,15.584,0,0
0.1998,0.19128,0.19741,2.4088,15.657,0,0
0.19738,0.19135,0.19736,2.4201,15.731,0,0
0.19499,0.19143,0.19731,2.4313,15.804,0,0
0.19304,0.19149,0.19727,2.4426,15.877,0,0
0.19108,0.19155,0.19722,2.4538,15.95,0,0
0.18939,0.19158,0.19717,2.4651,16.023,0,0
0.188,0.19157,0.19709,2.4763,16.096,0,0
0.18661,0.19156,0.197,2.4876,16.169,0,0
0.18611,0.19157,0.19699,2.4988,16.242,0,0
0.18574,0.19158,0.19699,2.5101,16.315,0,0
0.18547,0.19159,0.19698,2.5213,16.389,0,0
0.18582,0.19157,0.19698,2.5326,16.462,0,0
0.18617,0.19155,0.19698,2.5438,16.535,0,0
0.18671,0.19151,0.19696,2.555,16.608,0,0
0.18775,0.19141,0.19691,2.5663,16.681,0,0
0.18879,0.1913,0.19685,2.5775,16.754,0,0
0.19019,0.19119,0.19681,2.5888,16.827,0,0
0.19208,0.19106,0.19678,2.6,16.9,0,0
0.19396,0.19094,0.19675,2.6113,16.973,0,0
0.19653,0.1907,0.19664,2.6225,17.046,0,0
0.19959,0.19038,0.19648,2.6338,17.119,0,0
0.20266,0.19006,0.19631,2.645,17.193,0,0
0.20633,0.18975,0.1962,2.6563,17.266,0,0
0.21067,0.18944,0.19613,2.6675,17.339,0,0
0.215,0.18914,0.19607,2.6788,17.412,0,0
0.21995,0.18871,0.19592,2.69,17.485,0,0
0.22588,0.18809,0.19563,2.7012,17.558,0,0
0.23181,0.18747,0.19535,2.7125,17.631,0,0
0.23822,0.18687,0.19514,2.7237,17.704,0,0
0.24583,0.18634,0.19509,2.735,17.777,0,0
0.25344,0.1858,0.19503,2.7462,17.851,0,0
0.26106,0.18526,0.19498,2.7575,17.924,0,0
0.27075,0.18421,0.19459,2.7687,17.997,0,0
0.28043,0.18316,0.1942,2.78,18.07,0,0
0.29012,0.18211,0.1938,2.7912,18.143,0,0
0.30085,0.18117,0.19366,2.8025,18.216,0,0
0.31213,0.18028,0.19363,2.8137,18.289,0,0
0.32341,0.17938,0.19361,2.825,18.362,0,0
0.33532,0.17829,0.19346,2.8362,18.435,0,0
0.34867,0.17676,0.19303,2.8474,18.508,0,0
0.36201,0.17523,0.1926,2.8587,18.581,0,0
0.37535,0.1737,0.19218,2.8699,18.655,0,0
0.38974,0.17228,0.19207,2.8812,18.728,0,0
0.40441,0.17089,0.19205,2.8924,18.801,0,0
0.41908,0.16949,0.19202,2.9037,18.874,0,0
0.43403,0.16801,0.19195,2.9149,18.947,0,0
0.45017,0.16612,0.19167,2.9262,19.02,0,0
0.46631,0.16423,0.19139,2.9374,19.093,0,0
0.48245,0.16235,0.19111,2.9487,19.166,0,0
0.49896,0.16032,0.19079,2.9599,19.239,0,0
0.51575,0.15821,0.19044,2.9712,19.312,0,0
0.53252,0.1561,0.1901,2.9824,19.386,0,0
0.54931,0.15398,0.18976,2.9936,19.459,0,0
0.56684,0.15178,0.18948,3.0049,19.532,0,0
0.5846,0.14954,0.18923,3.0161,19.605,0,0
0.60236,0.1473,0.18898,3.0274,19.678,0,0
0.62011,0.14507,0.18872,3.0386,19.751,0,0
0.63829,0.14267,0.1884,3.0499,19.824,0,0
0.6565,0.14026,0.18806,3.0611,19.897,0,0
0.6747,0.13785,0.18773,3.0724,19.97,0,0
0.69291,0.13545,0.1874,3.0836,20.043,0,0
0.7111,0.13308,0.18715,3.0949,20.117,0,0
0.72928,0.13071,0.18689,3.1061,20.19,0,0
0.74746,0.12834,0.18664,3.1174,20.263,0,0
0.76565,0.12597,0.18639,3.1286,20.336,0,0
0.78382,0.12361,0.18613,3.1398,20.409,0,0
0.80199,0.12126,0.18588,3.1511,20.482,0,0
0.82016,0.1189,0.18562,3.1623,20.555,0,0
0.83833,0.11655,0.18536,3.1736,20.628,0,0
0.85613,0.11429,0.18513,3.1848,20.701,0,0
0.87385,0.11205,0.1849,3.1961,20.774,0,0
