,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
98,4.4491,1214900.0,1.1457,1704.6,0.93182,0,355360.0,3.6177e+18,268.93,,7.1638,-0.9362,0,0,3710.547515522915,1.0000015491047185
99,4.3813,1198600.0,1.1626,1698.1,1.0355,0,347790.0,3.5103e+18,267.28,,7.2369,-0.8631,0,0,3710.5387638018747,0.9999797076834158
100,4.313,1182000.0,1.1798,1690.9,1.1427,0,340230.0,3.4028e+18,265.6,,7.31,-0.79,0,0,3710.5234134229772,1.0000198646040999
101,4.2443,1165400.0,1.1972,1683.0,1.2468,0,332660.0,3.2953e+18,263.9,,7.3831,-0.7169,0,0,3710.524564639406,0.999996937753621
102,4.175,1148500.0,1.2148,1674.5,1.3543,0,325080.0,3.1877e+18,262.16,,7.4562,-0.6438,0,0,3710.502126344053,1.0000250836856537
103,4.1052,1131400.0,1.2328,1665.2,1.4648,0,317490.0,3.0799e+18,260.39,,7.5293,-0.5707,0,0,3710.4794511024456,1.0000344926193512
104,4.0347,1114200.0,1.2511,1655.1,1.5775,0,309880.0,2.9719e+18,258.59,,7.6024,-0.4976,0,0,3710.473729397542,1.0000325211266483
105,3.9636,1096700.0,1.2697,1644.3,1.6916,0,302250.0,2.8636e+18,256.75,,7.6755,-0.4245,0,0,3710.4520123892626,1.0000220779067779
106,3.8918,1079000.0,1.2888,1632.7,1.806,0,294620.0,2.7551e+18,254.88,,7.7486,-0.3514,0,0,3710.453770939142,1.000044909870991
107,3.8195,1061100.0,1.3082,1620.4,1.9208,0,286970.0,2.6465e+18,252.97,,7.8217,-0.2783,0,0,3710.4381480537563,1.0000103922918506
108,3.7466,1043100.0,1.3279,1607.2,2.031,0,279330.0,2.538e+18,251.02,,7.8948,-0.2052,0,0,3710.4158859676713,1.0000356401059576
109,3.6733,1024800.0,1.348,1593.3,2.1373,0,271700.0,2.4298e+18,249.04,,7.9679,-0.1321,0,0,3710.4041822942345,1.0000176900295308
110,3.5998,1006500.0,1.3684,1578.7,2.2399,0,264110.0,2.3219e+18,247.03,,8.041,-0.059,0,0,3710.390165012418,1.000000748105516
111,3.526,987980.0,1.3892,1563.3,2.3372,0,256560.0,2.2147e+18,244.99,,8.1141,0.0141,0,0,3710.385181647726,1.0000042182123674
112,3.4522,969420.0,1.4103,1547.3,2.4267,0,249070.0,2.1083e+18,242.92,,8.1872,0.0872,0,0,3710.3671594250873,1.000013241721894
113,3.3785,950820.0,1.4317,1530.6,2.5061,0,241650.0,2.003e+18,240.83,,8.2603,0.1603,0,0,3710.3605313852436,0.9999904241140448
114,3.3052,932270.0,1.4532,1513.3,2.5742,0,234340.0,1.8992e+18,238.72,,8.3334,0.2334,0,0,3710.3411980879987,1.0000078895902813
115,3.2325,913800.0,1.475,1495.4,2.6315,0,227150.0,1.7971e+18,236.6,,8.4065,0.3065,0,0,3710.323449517462,1.0000069492008334
116,3.1608,895510.0,1.4968,1477.2,2.6762,0,220120.0,1.6973e+18,234.48,,8.4796,0.3796,0,0,3710.3023725247904,1.0000005358534583
117,3.0901,877420.0,1.5187,1458.6,2.713,0,213260.0,1.5998e+18,232.36,,8.5527,0.4527,0,0,3710.277335149689,1.0000438737620163
118,3.0206,859580.0,1.5405,1439.8,2.7439,0,206580.0,1.5049e+18,230.26,,8.6258,0.5258,0,0,3710.292480961217,1.0000462954339027
119,2.9524,842020.0,1.5624,1420.7,2.7712,0,200080.0,1.4126e+18,228.16,,8.6989,0.5989,0,0,3710.272334912868,1.0000748934134813
120,2.8856,824730.0,1.5842,1401.4,2.7981,0,193760.0,1.3229e+18,226.08,,8.772,0.672,0,0,3710.269365679806,1.0000216506751824
121,2.82,807710.0,1.6059,1382.0,2.828,0,187620.0,1.2357e+18,224.0,,8.8451,0.7451,0,0,3710.236338672211,1.0000588458035267
122,2.7555,790920.0,1.6277,1362.4,2.8647,0,181640.0,1.1508e+18,221.94,,8.9182,0.8182,0,0,3710.2483756819483,1.0000438579573492
123,2.692,774340.0,1.6496,1342.6,2.9098,0,175800.0,1.0679e+18,219.88,,8.9913,0.8913,0,0,3710.248872372505,1.0000037706626819
124,2.6292,757900.0,1.6716,1322.6,2.964,0,170090.0,9.8685e+17,217.81,,9.0644,0.9644,0,0,3710.2363225519366,1.0000481095282434
125,2.5668,741500.0,1.694,1302.2,3.0214,0,164470.0,9.0698e+17,215.73,,9.1375,1.0375,0,0,3710.2454960359314,1.0000637122854208
126,2.5043,725050.0,1.7172,1281.5,3.0499,0,158870.0,8.2744e+17,213.58,,9.2106,1.1106,0,0,3710.129767737143,1.0000886777314884
127,2.4404,708120.0,1.7414,1259.7,3.0523,0,153190.0,7.4685e+17,211.35,,9.2837,1.1837,0,0,3710.013176599222,1.0000246341991
128,2.3793,691840.0,1.7644,1238.2,3.2113,0,147870.0,6.7121e+17,209.24,,9.3568,1.2568,0,0,3710.0938454357924,1.000068406626803
129,2.3176,675270.0,1.7879,1215.8,3.2675,0,142540.0,5.9554e+17,207.07,,9.4299,1.3299,0,0,3710.1566947718293,1.0000567360376533
130,2.2557,658920.0,1.8133,1193.7,3.4438,0,137230.0,5.2017e+17,204.83,,9.503,1.403,0,0,3710.121199575554,1.0000407784098777
131,2.1858,640190.0,1.8427,1167.9,3.4264,0,131280.0,4.3567e+17,202.22,,9.5761,1.4761,0,0,3709.948366049616,1.0000174791903431
132,2.1158,621340.0,1.8725,1141.3,3.3843,0,125420.0,3.5242e+17,199.58,,9.6492,1.5492,0,0,3709.8581566572543,1.0000430961962228
133,2.0517,603740.0,1.8986,1115.5,3.4191,0,120190.0,2.7815e+17,197.24,,9.7223,1.6223,0,0,3710.2381773731386,1.0000069850225817
134,1.9983,589770.0,1.923,1095.0,4.0543,0,115900.0,2.1727e+17,195.28,,9.7954,1.6954,0,0,3710.6554060936774,1.0000196455283035
