,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
929,1.3158,351030.0,0.95143,432.18,0.10685,0,112020.0,1.622e+17,286.64,,67.91,59.81,0,0,200626.221271976,0.999662233861381
930,1.3259,353340.0,0.94178,431.74,0.12867,0,113220.0,1.7922e+17,287.52,,67.983,59.883,0,0,200588.01061289525,0.9996685341236863
931,1.3362,355730.0,0.93171,431.13,0.13568,0,114470.0,1.9698e+17,288.43,,68.056,59.956,0,0,200536.72783290417,0.9996751124006719
932,1.3469,358180.0,0.92152,430.5,0.1601,0,115750.0,2.1516e+17,289.36,,68.129,60.029,0,0,200504.0206000491,0.9996819208882638
933,1.3578,360700.0,0.91116,429.82,0.2062,0,117070.0,2.3386e+17,290.3,,68.202,60.102,0,0,200495.66937396847,0.9996888265481265
934,1.3695,363380.0,0.90002,428.92,0.24254,0,118480.0,2.5395e+17,291.3,,68.275,60.175,0,0,200462.95685110288,0.9996962633319673
935,1.3815,366140.0,0.88856,427.94,0.2811,0,119940.0,2.7467e+17,292.33,,68.349,60.249,0,0,200438.06902203677,0.9997040154308602
936,1.3943,369090.0,0.87639,426.78,0.34342,0,121510.0,2.969e+17,293.42,,68.422,60.322,0,0,200436.68598418587,0.9997122813531483
937,1.4076,372140.0,0.86371,425.43,0.42216,0,123140.0,3.2006e+17,294.54,,68.495,60.395,0,0,200418.29014412334,0.9997208675341567
938,1.4214,375300.0,0.85054,423.9,0.51651,0,124830.0,3.4413e+17,295.7,,68.568,60.468,0,0,200387.92207616573,0.9997298948964112
939,1.4354,378460.0,0.83665,421.91,0.73021,0,126580.0,3.6892e+17,296.91,,68.641,60.541,0,0,200299.1951013562,0.9997394828720433
940,1.4493,381610.0,0.82292,419.87,0.90381,0,128320.0,3.9358e+17,298.1,,68.714,60.614,0,0,200224.86902721145,0.9997490132360767
941,1.4627,384690.0,0.81012,417.93,0.86633,0,129990.0,4.1734e+17,299.21,,68.787,60.687,0,0,200228.017113335,0.9997579388536518
942,1.4754,387530.0,0.79749,415.71,0.56754,0,131580.0,4.3997e+17,300.29,,68.86,60.76,0,0,200141.24404309408,0.9997668017421605
943,1.4874,390210.0,0.78498,413.27,0.071504,0,133120.0,4.6174e+17,301.34,,68.933,60.833,0,0,200004.29305822108,0.9997755300811396
944,1.499,392880.0,0.77585,412.09,-0.08416,0,134490.0,4.8127e+17,302.08,,69.006,60.906,0,0,200273.26660893948,0.9997812850760956
945,1.5106,395570.0,0.767,411.02,-0.21114,0,135850.0,5.0062e+17,302.78,,69.079,60.979,0,0,200577.3902810058,0.9997867046228585
946,1.5223,398250.0,0.75815,409.94,-0.33811,0,137220.0,5.1997e+17,303.49,,69.153,61.053,0,0,200892.0125779829,0.9997922952921986
947,1.533,400800.0,0.75149,409.58,-0.58454,0,138430.0,5.3723e+17,304.04,,69.226,61.126,0,0,201386.72637276546,0.9997964654103265
948,1.5432,403280.0,0.74613,409.64,-0.90207,0,139560.0,5.5325e+17,304.5,,69.299,61.199,0,0,202007.21124007372,0.9997998326840225
949,1.5533,405750.0,0.74077,409.7,-1.2196,0,140690.0,5.6927e+17,304.95,,69.372,61.272,0,0,202622.17839376992,0.9998031407101275
950,1.5628,408090.0,0.73656,410.13,-1.5597,0,141710.0,5.8379e+17,305.3,,69.445,61.345,0,0,203291.5293876039,0.9998055576944506
951,1.5709,410110.0,0.73492,411.39,-1.9501,0,142500.0,5.9495e+17,305.42,,69.518,61.418,0,0,204113.68685340468,0.999805808276934
952,1.579,412130.0,0.73327,412.66,-2.3405,0,143280.0,6.0611e+17,305.54,,69.591,61.491,0,0,204917.21917318244,0.9998060846519746
953,1.587,414150.0,0.73163,413.92,-2.7309,0,144070.0,6.1727e+17,305.65,,69.664,61.564,0,0,205734.58189727372,0.9998062502988129
954,1.5954,416310.0,0.73108,415.82,-2.5887,0,144850.0,6.2834e+17,305.7,,69.737,61.637,0,0,206743.6179690826,0.9998057781273633
955,1.6037,418470.0,0.73055,417.72,-2.4431,0,145630.0,6.3941e+17,305.74,,69.811,61.71,0,0,207755.4897652893,0.9998052007760515
956,1.6121,420630.0,0.73001,419.62,-2.2975,0,146410.0,6.5048e+17,305.78,,69.884,61.784,0,0,208764.45424325214,0.999804628182298
957,1.6198,422650.0,0.72986,421.56,-2.3745,0,147120.0,6.6057e+17,305.8,,69.957,61.857,0,0,209748.193193117,0.99980392727364
958,1.6273,424600.0,0.72989,423.52,-2.5575,0,147790.0,6.7018e+17,305.8,,70.03,61.93,0,0,210709.67392174888,0.9998030555898686
959,1.6347,426550.0,0.72992,425.48,-2.7406,0,148470.0,6.798e+17,305.8,,70.103,62.003,0,0,211685.47606422694,0.999802171093035
960,1.6411,428210.0,0.73,427.17,-2.8515,0,149050.0,6.8795e+17,305.8,,70.176,62.076,0,0,212528.51129124305,0.9998014168262079
961,1.6454,429360.0,0.73014,428.39,-2.8344,0,149440.0,6.9352e+17,305.79,,70.249,62.149,0,0,213112.43872874498,0.9998007959219127
962,1.6498,430510.0,0.73029,429.6,-2.8174,0,149830.0,6.9908e+17,305.78,,70.322,62.222,0,0,213698.49522970113,0.9998001744749371
963,1.6542,431660.0,0.73044,430.82,-2.8004,0,150220.0,7.0464e+17,305.77,,70.395,62.295,0,0,214284.7166029602,0.9997995524851696
964,1.6585,432810.0,0.73059,432.04,-2.7834,0,150610.0,7.102e+17,305.76,,70.468,62.368,0,0,214871.10292474908,0.9997989299524992
965,1.6629,433950.0,0.73074,433.26,-2.7664,0,151000.0,7.1576e+17,305.75,,70.542,62.442,0,0,215457.65426541815,0.9997983068768143
966,1.6673,435100.0,0.73089,434.47,-2.7494,0,151400.0,7.2133e+17,305.74,,70.615,62.515,0,0,216058.64792423852,0.9997976702191539
