,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
145,1.7998,533250.0,2.011,1009.6,0.52724,0,100030.0,-8092300000000000.0,187.13,,10.599,2.4995,0,0,568939.2526770156,0.9972513118151687
146,1.8048,534460.0,2.0089,1011.7,-0.35826,0,100370.0,-3297300000000000.0,187.24,,10.673,2.5726,0,0,569794.554031477,0.9972478095638712
147,1.8143,537130.0,2.0035,1015.5,-1.5345,0,101160.0,7945900000000000.0,187.73,,10.746,2.6457,0,0,571491.7137044935,0.9972522040500048
148,1.8275,540710.0,1.9962,1020.9,-2.8546,0,102230.0,2.3108e+16,188.34,,10.819,2.7188,0,0,573740.2366626866,0.9972555620578815
149,1.8453,545370.0,1.9869,1027.9,-4.3449,0,103620.0,4.2906e+16,189.06,,10.892,2.7919,0,0,576659.3483092809,0.9972565250451302
150,1.8719,552440.0,1.973,1038.5,-5.5556,0,105750.0,7.3078e+16,190.19,,10.965,2.865,0,0,581110.872558622,0.9972603224742713
151,1.907,561850.0,1.9549,1052.4,-6.4935,0,108580.0,1.1337e+17,191.69,,11.038,2.9381,0,0,586847.1184372272,0.9972669359928132
152,1.9526,574090.0,1.9321,1070.2,-7.0902,0,112320.0,1.6639e+17,193.62,,11.111,3.0112,0,0,594407.021879621,0.9972756579962281
153,2.0066,588610.0,1.9057,1091.1,-7.4127,0,116770.0,2.2963e+17,195.9,,11.184,3.0843,0,0,602922.1156543948,0.9972889747059186
154,2.0681,605030.0,1.8762,1114.2,-7.1798,0,121940.0,3.0309e+17,198.46,,11.257,3.1574,0,0,612334.2272652267,0.9973046334486203
155,2.1345,622720.0,1.8448,1138.7,-6.5807,0,127590.0,3.8329e+17,201.21,,11.33,3.2305,0,0,621776.9617822389,0.9973247288993454
156,2.1982,639670.0,1.8164,1161.8,-5.669,0,133050.0,4.6081e+17,203.74,,11.404,3.3036,0,0,630825.8274519151,0.9973425850792704
157,2.2602,656190.0,1.7898,1184.1,-4.5798,0,138400.0,5.3681e+17,206.14,,11.477,3.3767,0,0,639348.9651310453,0.9973604511348446
158,2.3044,668370.0,1.7742,1201.2,-3.5887,0,142120.0,5.8954e+17,207.63,,11.55,3.4498,0,0,646512.1368060737,0.997366219197552
159,2.3399,678430.0,1.7639,1215.8,-2.6453,0,145030.0,6.3096e+17,208.68,,11.623,3.5229,0,0,653047.6953582913,0.997366198618533
160,2.3566,683880.0,1.7595,1223.4,-2.465,0,146530.0,6.5227e+17,209.36,,11.696,3.596,0,0,656922.3857618214,0.997373661365039
161,2.3654,687430.0,1.7575,1228.1,-2.5992,0,147450.0,6.653e+17,209.89,,11.769,3.6691,0,0,659732.8607105324,0.9973840804238044
162,2.3665,688150.0,1.7574,1229.0,-1.9637,0,147610.0,6.6762e+17,210.02,,11.842,3.7422,0,0,660383.2594659784,0.9973878068408838
163,2.3649,687900.0,1.7579,1228.6,-1.0624,0,147520.0,6.6623e+17,210.02,,11.915,3.8153,0,0,660309.445800342,0.9973893956996939
164,2.3633,687650.0,1.7585,1228.1,-0.16109,0,147420.0,6.6483e+17,210.02,,11.988,3.8884,0,0,660256.2764025822,0.9973911611039122
165,2.3617,687400.0,1.7591,1227.7,0.74025,0,147320.0,6.6344e+17,210.03,,12.062,3.9615,0,0,660202.765072267,0.9973934293531111
166,2.3536,685250.0,1.7625,1224.9,1.4519,0,146590.0,6.5315e+17,209.71,,12.135,4.0346,0,0,659156.0369883084,0.9973902581018641
167,2.3435,682560.0,1.7668,1221.5,2.1104,0,145690.0,6.4036e+17,209.31,,12.208,4.1077,0,0,657911.7289885448,0.9973861642009775
168,2.3335,679870.0,1.7711,1218.0,2.7689,0,144790.0,6.2756e+17,208.91,,12.281,4.1808,0,0,656639.8295372631,0.9973821725020139
169,2.3235,677180.0,1.7753,1214.6,3.4273,0,143890.0,6.1477e+17,208.51,,12.354,4.2539,0,0,655275.443852176,0.9973782844326414
170,2.3019,671370.0,1.7841,1206.8,4.1643,0,142000.0,5.8794e+17,207.7,,12.427,4.327,0,0,652308.3444684369,0.997371981005405
